"","species_richness","summer_air_temp","pLittoral","log_lake_area","log_LT_CUE","log_PRED_CUE","log_SDI"
"2",5,18.770652173913,0.1755274704,6.84581877329098,1.58780561230699,-0.229413164327805,1.05448929628886
"3",17,18.4282608695652,0.2421729826,8.55574031910791,-0.435408984481236,0.580538236177291,2.21691184939536
"4",13,17.5304347826087,0.12316,7.65186752641888,-0.546452801409142,0.186479566942618,1.13903180220376
"5",14,18.7391304347826,0.1590842002,7.57896778180075,0.0295588022415444,-0.642454066244427,1.45306750082408
"6",14,14.6510869565217,0.310461435,8.33369140714775,0.241376319575269,0.963555924341269,1.73119738712264
"7",15,18.0630434782609,0.259018,7.04500624540719,-1.83885107676191,1.98705209238649,1.62573007151506
"9",12,18.7858695652174,0.335829493,6.22206042433258,0.380489122037987,0.392717535285662,1.41270269613836
"10",12,14.4945652173913,0.3201330108,7.34962623838842,-0.721546655081643,1.39451051589123,1.87671856394857
"11",14,15.045652173913,0.1829363,7.35293168693753,0.918687856473877,0.22872792960811,0.53057813215918
"12",16,19.745652173913,0.2101544204,7.87944320672866,-0.0790432073404529,1.06780937951306,1.64126900485419
"13",11,18.575,0.1557891432,7.70337542388342,-0.368169323364468,0.182321556793955,1.9436533329319
"14",19,15.2173913043478,0.3577067392,7.71258401988681,-0.316081546973479,1.14613180463609,1.78465663706638
"15",15,15.1891304347826,0.3509291,7.28823463883987,0.152721087017664,0.0907543632684641,1.66126384494478
"16",15,15.2369565217391,0.173062753,7.03696636324981,-0.147340587898709,0.377065633586466,0.933679271132617
"17",11,18.1608695652174,0.2643336528,4.68385335082502,0.676001021724975,-0.7339691750802,0.955433018875263
"18",9,18.0989130434783,0.202184244,6.43595012556576,0.366724279791734,-0.539568092631645,0.756589429135277
"19",20,15.5989130434783,0.2536758794,7.15314838847267,-0.0768810443359576,0.643431588314012,0.832103929288471
"20",25,18.7641304347826,0.2476806024,7.58423236082114,-0.265268477614881,0.592221261969985,1.1944910643669
"21",19,18.5684782608696,0.226957438,9.23391870154473,-0.823255865906966,-0.410980288796275,2.19655872237066
"22",13,17.9304347826087,0.389715622,7.45366448746741,-0.675307262431614,-0.282362910974181,1.50255708613393
"23",9,18.4695652173913,0.297957678,6.4615037477523,-0.811930716549912,1.5499001997179,1.24279055168402
"24",24,18.8923913043478,0.1994601638,7.61343372177614,-0.663588378318401,0.585561969880008,1.0251360246371
"25",24,18.8097826086957,0.1122417178,9.31124133961487,-0.837017550979647,0.122217632724249,1.77367010545741
"26",17,18.6532608695652,0.2231312936,6.98364933164402,-0.736054681571222,0.437609561434732,1.17048484986575
"27",14,17.6,0.1528163,8.8192682082677,-1.45671682541644,0.64814981462921,1.73723291840804
"28",16,14.9576086956522,0.391033699,8.81882172341395,-0.731888008876376,2.33272624990603,2.01257439138868
"29",18,18.5271739130435,0.1728508834,9.09061788359664,-0.393042588109607,0.404130885095028,2.27484274819432
"30",17,18.3141304347826,0.2393315554,8.58592311166788,-0.452556715642015,0.978701991995552,1.9259655862582
"31",23,18.7554347826087,0.214049,8.20481096634566,-1.76609172247948,1.06849666476349,2.0156514204212
"32",12,19.8891304347826,0.153,8.74788722849519,-0.661648513500574,0.193096629961913,1.63003953417468
"33",16,18.1565217391304,0.075007,7.85463069446854,-1.82015894374975,-0.709276562489829,0.909005418305687
"34",19,18.2684782608696,0.210594894,8.14104399547169,0.0741793981742515,-0.29169009384932,1.54487283094381
"35",12,18.3010869565217,0.3359455684,6.25729651406242,0.264669298142708,-0.00702461493696447,1.20536340698971
"36",24,18.3782608695652,0.1687696248,8.57742867493995,-0.614336000135655,1.07261048612911,1.71682217892611
"37",14,14.8521739130435,0.2152370304,6.98122115617986,-0.841647188878389,1.0952733874026,1.31464437333831
"38",12,15.0760869565217,0.403481734,6.83112592359621,1.25419052048655,-0.157824085193567,1.1333486673343
"39",12,18.2586956521739,0.373418636,7.17395373660453,-0.234457311214483,-0.967584026261706,1.0718138979825
